Time	Component	Volatility OIS	Volatility Spread
6	6	0.0	0.0
6	7	0.36842883888509176	0.36842883888509176
6	8	0.4021920276213836	0.4021920276213836
6	9	0.41160872707052	0.41160872707052
6	10	0.4043960677054993	0.40439606770549935
6	11	0.3862734132300144	0.38627341323001435
6	12	0.3614330542946424	0.3614330542946424
6	13	0.33290590132116865	0.33290590132116854
6	14	0.3028447769919832	0.30284477699198314
6	15	0.2727431655656178	0.2727431655656178
6	16	0.2436035098259029	0.24360350982590287
6	17	0.2160661588065509	0.2160661588065509
6	18	0.19050770190776606	0.19050770190776603
6	19	0.16711555098225112	0.16711555098225112
6	20	0.1459441503005231	0.14594415030052307
6	21	0.1269570243380531	0.12695702433805306
6	22	0.11005795074158879	0.11005795074158879
6	23	0.09511381938692923	0.09511381938692924
6	24	0.08197116734187766	0.08197116734187765
6	25	0.07046793134692163	0.07046793134692161
6	26	0.060441608332822756	0.060441608332822756
6	27	0.05173474003064804	0.05173474003064805
6	28	0.04419842365104636	0.04419842365104636
6	29	0.0376943840423759	0.03769438404237589
6	30	0.032096013491178084	0.032096013491178084
6	31	0.027288685346296145	0.027288685346296145
6	32	0.023169570567195243	0.023169570567195243
6	33	0.019647127100365102	0.019647127100365102
6	34	0.016640386724173197	0.016640386724173197
6	35	0.014078129565997535	0.014078129565997535
6	36	0.01189801044799853	0.01189801044799853
6	37	0.010045681649663891	0.010045681649663891
6	38	0.008473942093187062	0.008473942093187062
6	39	0.00714193219712643	0.007141932197126429
7	0	0.0	0.0
7	1	0.0	0.0
7	2	0.0	0.0
7	3	0.0	0.0
7	4	0.0	0.0
7	5	0.0	0.0
7	6	0.0	0.0
7	7	0.0	0.0
7	8	0.36842883888509176	0.36842883888509176
7	9	0.4021920276213838	0.4021920276213838
7	10	0.4116087270705197	0.41160872707051976
7	11	0.4043960677054993	0.40439606770549924
7	12	0.38627341323001446	0.38627341323001446
7	13	0.3614330542946423	0.3614330542946423
7	14	0.3329059013211688	0.3329059013211688
7	15	0.30284477699198303	0.30284477699198303
7	16	0.2727431655656178	0.2727431655656178
7	17	0.2436035098259027	0.2436035098259027
7	18	0.21606615880655092	0.21606615880655092
7	19	0.19050770190776603	0.190507701907766
7	20	0.16711555098225123	0.16711555098225123
7	21	0.1459441503005231	0.14594415030052307
7	22	0.1269570243380531	0.1269570243380531
7	23	0.11005795074158874	0.11005795074158874
7	24	0.09511381938692925	0.09511381938692925
7	25	0.08197116734187766	0.08197116734187766
7	26	0.07046793134692159	0.07046793134692159
7	27	0.060441608332822756	0.06044160833282276
7	28	0.05173474003064807	0.05173474003064806
7	29	0.044198423651046356	0.04419842365104635
7	30	0.037694384042375906	0.0376943840423759
7	31	0.032096013491178084	0.032096013491178084
7	32	0.027288685346296138	0.027288685346296138
7	33	0.023169570567195253	0.02316957056719525
7	34	0.019647127100365112	0.019647127100365112
7	35	0.016640386724173187	0.016640386724173187
7	36	0.014078129565997539	0.014078129565997537
7	37	0.011898010447998531	0.011898010447998531
7	38	0.010045681649663884	0.010045681649663882
7	39	0.008473942093187053	0.008473942093187053
8	0	0.0	0.0
8	1	0.0	0.0
8	2	0.0	0.0
8	3	0.0	0.0
8	4	0.0	0.0
8	5	0.0	0.0
8	6	0.0	0.0
8	7	0.0	0.0
8	8	0.0	0.0
8	9	0.368428838885092	0.368428838885092
8	10	0.4021920276213835	0.40219202762138356
8	11	0.4116087270705197	0.4116087270705197
8	12	0.40439606770549935	0.40439606770549935
8	13	0.38627341323001435	0.38627341323001435
8	14	0.3614330542946425	0.3614330542946425
8	15	0.3329059013211687	0.3329059013211687
8	16	0.30284477699198314	0.3028447769919831
8	17	0.27274316556561756	0.27274316556561756
8	18	0.24360350982590276	0.24360350982590273
8	19	0.2160661588065509	0.2160661588065509
8	20	0.19050770190776617	0.19050770190776614
8	21	0.16711555098225125	0.16711555098225123
8	22	0.1459441503005231	0.1459441503005231
8	23	0.12695702433805303	0.12695702433805303
8	24	0.11005795074158875	0.11005795074158874
8	25	0.09511381938692928	0.09511381938692927
8	26	0.08197116734187763	0.08197116734187763
8	27	0.07046793134692159	0.07046793134692159
8	28	0.060441608332822784	0.060441608332822784
8	29	0.05173474003064806	0.051734740030648055
8	30	0.04419842365104636	0.04419842365104636
8	31	0.03769438404237591	0.03769438404237591
8	32	0.032096013491178084	0.032096013491178084
8	33	0.02728868534629615	0.027288685346296148
8	34	0.023169570567195263	0.023169570567195263
8	35	0.019647127100365102	0.019647127100365102
8	36	0.016640386724173194	0.01664038672417319
8	37	0.01407812956599754	0.01407812956599754
8	38	0.011898010447998522	0.01189801044799852
8	39	0.010045681649663872	0.010045681649663872
9	0	0.0	0.0
9	1	0.0	0.0
9	2	0.0	0.0
9	3	0.0	0.0
9	4	0.0	0.0
9	5	0.0	0.0
9	6	0.0	0.0
9	7	0.0	0.0
9	8	0.0	0.0
9	9	0.0	0.0
9	10	0.36842883888509176	0.36842883888509176
9	11	0.4021920276213835	0.4021920276213835
9	12	0.41160872707051976	0.41160872707051976
9	13	0.40439606770549924	0.4043960677054992
9	14	0.38627341323001463	0.3862734132300146
9	15	0.3614330542946424	0.3614330542946424
9	16	0.3329059013211687	0.3329059013211687
9	17	0.3028447769919829	0.3028447769919829
9	18	0.2727431655656177	0.2727431655656177
9	19	0.2436035098259027	0.24360350982590268
9	20	0.21606615880655106	0.21606615880655103
9	21	0.19050770190776617	0.19050770190776614
9	22	0.16711555098225125	0.16711555098225125
9	23	0.14594415030052302	0.14594415030052302
9	24	0.12695702433805306	0.12695702433805303
9	25	0.11005795074158878	0.11005795074158876
