i	j	k	mean1	mean2	variance1	variance2	correlation	probabilitySum	probabilitySimApprox	probabilityBlackApprox	probabilitySimLevy	probabilitySimJu	probabilitySimHo	probabilityBlackLevy	probabilityBlackJu	probabilityBlackHo	normalizedErrorSimApprox	normalizedErrorBlackApprox	normalizedErrorSimLevy	normalizedErrorSimJu	normalizedErrorSimHo	normalizedErrorBlackLevy	normalizedErrorBlackJu	normalizedErrorBlackHo
2	2	8	-3.4	-3.2	1.1	1.2	0.8	0.028981637740120116	0.028927953831601776	0.028912776073080515	0.029028316212046622	0.02901113066936744	0.0	0.029013014787649918	0.028995829244970735	0.0	0.0018540593038668186	0.0023788708617652247	0.0016093262878641781	0.0010171243779594744	2.0	0.001082066920386413	4.895524274721851E-4	2.0
2	3	8	-3.4	-3.2	1.6	1.7999999999999998	0.8	0.03458805805017957	0.034463628562753236	0.03448230193037875	0.03465033237886045	0.03461288657663214	0.0	0.03466917095751021	0.0346317251552819	0.0	0.0036039521561237625	0.003062272147722452	0.0017988381386394284	7.175776743068855E-4	2.0	0.0023423665223925227	0.0012616943619346223	2.0
2	4	8	-3.4	-3.2	2.1	2.4	0.8	0.0390480350046875	0.03892941828098956	0.038912457866238384	0.039212734532304776	0.039157149049611574	0.0	0.03919543166673234	0.03913984618403914	0.0	0.003042333872161259	0.0034780985459798032	0.004208993307673098	0.002790455549553141	2.0	0.003767641397174354	0.00234847595191958	2.0
2	5	8	-3.4	-3.2	2.6	3.0	0.8	0.042766022781450065	0.04258432995562217	0.042588021386639446	0.04296661814985341	0.04289722777275211	0.0	0.042970678768820526	0.04290128839171922	0.0	0.004257576448163345	0.004170895393312048	0.0046795564962027	0.0030632737014579014	2.0	0.004774057869498603	0.0031579282322922227	2.0
2	6	8	-3.4	-3.2	3.1	3.5999999999999996	0.8	0.04588987222708334	0.04571249302047775	0.04571459507259859	0.046195059963171206	0.046116663228515556	0.0	0.046196576846092796	0.046118180111437146	0.0	0.0038728084395247596	0.0038268254737258084	0.006628396825168343	0.004929888954283226	2.0	0.006661232398389715	0.004962780507814709	2.0
2	7	8	-3.4	-3.2	3.6	4.2	0.8	0.048635256176144524	0.04839050334734257	0.04841858376634879	0.04896672563766608	0.048883780156681364	0.0	0.04899671210456717	0.048913766623582454	0.0	0.005045110288318929	0.004464994067707505	0.006792269078180855	0.0050969326581252125	2.0	0.0074044584942380524	0.005710163760629884	2.0
2	8	8	-3.4	-3.2	4.1	4.8	0.8	0.05100578378812043	0.05067245714604418	0.05078487325033043	0.051333017818992306	0.05124928213064457	0.0	0.05145391200619252	0.05137017631784479	0.0	0.006556498991599845	0.004340487510686763	0.006395111643541736	0.004762567807008922	2.0	0.008747404813141513	0.007118712817876222	2.0
2	9	8	-3.4	-3.2	4.6	5.3999999999999995	0.8	0.05312560102601993	0.05285322223633016	0.052874040545939645	0.05360375757116809	0.053522173336727465	0.0	0.053627266136844286	0.05354568190240366	0.0	0.0051402493687912765	0.004746440202055023	0.008960169000036586	0.0074370480411274035	2.0	0.0093986255199873	0.007876175571369229	2.0
3	0	8	-4.6	-3.8	0.1	0.0	0.8	0.001263032086604491	0.00126749653138623	0.001267598012407686	0.0012965627653214425	0.0012492742183160836	0.0	0.0012966667608049123	0.0012493782137995534	0.0	0.003528468123220728	0.003608528804725152	0.026199989183227006	0.010952381293205695	2.0	0.026280180759906124	0.010869142514454637	2.0
3	1	8	-4.6	-3.8	0.6	0.6	0.8	0.00937476608632235	0.009369646313976845	0.009366392310113837	0.00938391729582656	0.009380599361312547	0.0	0.009380657117175707	0.009377339182661695	0.0	5.46271842100865E-4	8.936241860167518E-4	9.756771643065542E-4	6.220379982980388E-4	2.0	6.281949268154631E-4	2.744327959379464E-4	2.0
3	2	8	-4.6	-3.8	1.1	1.2	0.8	0.012817933652379064	0.01280727227433041	0.01280772473123276	0.012855476542519282	0.012839129282626201	0.0	0.012855934151841409	0.012839586891948328	0.0	8.321008681175911E-4	7.967733740517898E-4	0.0029246516029785975	0.0016522257672930332	2.0	0.00296024734193714	0.0016878668795649457	2.0
3	3	8	-4.6	-3.8	1.6	1.7999999999999998	0.8	0.015309507169903917	0.015291017043270667	0.015297472311487766	0.015381723695170818	0.015352977855190707	0.0	0.015388253933104676	0.015359508093124564	0.0	0.0012084843059838562	7.864126823405501E-4	0.004706003847442972	0.0028354313260136868	2.0	0.005130456448372135	0.0032606800571731	2.0
3	4	8	-4.6	-3.8	2.1	2.4	0.8	0.01727843232527534	0.017269005140501194	0.01726929333942128	0.017405525864286626	0.017367875828565933	0.0	0.01740571266468686	0.017368062628966167	0.0	5.457530552583243E-4	5.290643987832331E-4	0.0073286640651950554	0.005163234298640539	2.0	0.00733939611014519	0.005173989681161296	2.0
