Component1	Component2	Correlation
6	58	0.31943875633339774
6	59	0.30991533856613357
6	60	0.3040829071729515
6	61	0.29906302341335744
6	62	0.29424289478102894
6	63	0.28972537035871126
6	64	0.2841146403979832
6	65	0.2738387021644785
6	66	0.2555897557966275
6	67	0.23108621356352774
6	68	0.20755192606245101
6	69	0.19198546222048013
6	70	0.18659402842614803
6	71	0.18771049763727207
6	72	0.18912972741968873
6	73	0.18977482998695722
6	74	0.19182084123075582
6	75	0.1883361708140059
6	76	0.1637469747957903
6	77	0.13467107469679107
6	78	0.13415054015771655
6	79	0.11685549798928173
7	0	0.7520297234588342
7	1	0.7649825024000049
7	2	0.7987274641894844
7	3	0.8484794678642462
7	4	0.9052605570673676
7	5	0.9562393986475506
7	6	0.9894078313207414
7	7	1.0
7	8	0.9915082771814314
7	9	0.9702142387678299
7	10	0.9395143110421253
7	11	0.8981349665035961
7	12	0.8423519956927267
7	13	0.7710850828077392
7	14	0.6902308263661058
7	15	0.6112103196746012
7	16	0.5448359132497931
7	17	0.4968474271337863
7	18	0.4673342441087874
7	19	0.452048641276316
7	20	0.4447390521824025
7	21	0.44040536575182554
7	22	0.436982484463215
7	23	0.43351092135904623
7	24	0.4270613851753789
7	25	0.41173447779509953
7	26	0.3824823691456582
7	27	0.34249208536190767
7	28	0.30366095066676196
7	29	0.2774736482933306
7	30	0.2680849361772677
7	31	0.27073290654472376
7	32	0.27595308860998513
7	33	0.2805080979689613
7	34	0.28579035887078114
7	35	0.2800662259909822
7	36	0.23995540593859455
7	37	0.19278408930577673
7	38	0.1910304276296266
7	39	0.1730431833860555
7	40	0.5264208064211839
7	41	0.5354877516800032
7	42	0.559109224932639
7	43	0.5939356275049723
7	44	0.6336823899471572
7	45	0.6693675790532856
7	46	0.6925854819245191
7	47	0.7
7	48	0.6940557940270019
7	49	0.6791499671374807
7	50	0.6576600177294877
7	51	0.6286944765525172
7	52	0.5896463969849088
7	53	0.5397595579654174
7	54	0.4831615784562741
7	55	0.4278472237722209
7	56	0.3813851392748551
7	57	0.3477931989936504
7	58	0.3271339708761512
7	59	0.31643404889342125
7	60	0.31131733652768173
7	61	0.30828375602627783
7	62	0.3058877391242505
7	63	0.30345764495133243
7	64	0.2989429696227653
7	65	0.2882141344565697
7	66	0.26773765840196073
7	67	0.23974445975333541
7	68	0.2125626654667334
7	69	0.1942315538053314
7	70	0.1876594553240874
7	71	0.18951303458130664
7	72	0.19316716202698955
7	73	0.1963556685782729
7	74	0.20005325120954673
7	75	0.19604635819368746
7	76	0.16796878415701616
7	77	0.1349488625140437
7	78	0.1337212993407386
7	79	0.12113022837023887
8	0	0.6671633411246936
8	1	0.6815056815220375
8	2	0.7195622760446186
8	3	0.7769929900972498
8	4	0.8452953049482264
8	5	0.9115422269754895
8	6	0.9625442822421054
8	7	0.9915082771814314
8	8	1.0000000000000002
8	9	0.9931329698895192
8	10	0.9737715844183282
8	11	0.9402987470726654
8	12	0.8886240779878991
8	13	0.817526111577314
8	14	0.7334270075275102
8	15	0.6489593147802006
8	16	0.5763040535179731
8	17	0.5222362747768492
8	18	0.48745999575029736
8	19	0.468069606000811
8	20	0.45799700479640193
8	21	0.45224790475678533
8	22	0.4485430498845679
8	23	0.445540100881196
8	24	0.43983009860362476
8	25	0.4249635585617442
8	26	0.3953997057917202
8	27	0.35421288743413476
8	28	0.31367779713243377
8	29	0.285788587132347
8	30	0.27502440999950206
8	31	0.2767478235017341
8	32	0.28151867024481864
8	33	0.28607195717978756
8	34	0.2916452167418634
8	35	0.28600620800955606
8	36	0.24503106958791976
8	37	0.19658401886755628
8	38	0.19444466884259387
8	39	0.17624864886134392
8	40	0.4670143387872854
8	41	0.4770539770654263
8	42	0.5036935932312329
8	43	0.5438950930680747
8	44	0.5917067134637582
8	45	0.6380795588828427
8	46	0.6737809975694737
8	47	0.6940557940270019
8	48	0.7000000000000001
8	49	0.6951930789226635
8	50	0.6816401090928297
8	51	0.6582091229508658
8	52	0.6220368545915296
8	53	0.5722682781041198
8	54	0.513398905269257
8	55	0.45427152034614027
8	56	0.4034128374625811
8	57	0.36556539234379437
8	58	0.3412219970252082
8	59	0.3276487242005677
8	60	0.32059790335748145
8	61	0.31657353332974975
8	62	0.3139801349191976
8	63	0.31187807061683726
8	64	0.3078810690225374
8	65	0.2974744909932209
8	66	0.27677979405420416
8	67	0.24794902120389434
8	68	0.21957445799270361
8	69	0.20005201099264291
8	70	0.19251708699965142
8	71	0.19372347645121388
8	72	0.19706306917137303
8	73	0.20025037002585125
8	74	0.20415165171930427
8	75	0.20020434560668926
8	76	0.17152174871154377
8	77	0.13760881320728935
8	78	0.13611126818981562
8	79	0.12337405420294073
9	0	0.5944908197328103
9	1	0.6094268260119708
9	2	0.6497421748124023
9	3	0.7115293969878292
9	4	0.7868916464710736
9	5	0.8632477326941742
9	6	0.9270065308591984
9	7	0.9702142387678299
9	8	0.9931329698895192
9	9	1.000000000000001
9	10	0.9932349230632435
9	11	0.9708438407913962
9	12	0.9281263731241658
9	13	0.8631002867845975
9	14	0.7817488435688442
9	15	0.6969369712810759
9	16	0.6215305137147494
9	17	0.5629647413142992
9	18	0.5223698128299649
9	19	0.4962125318174336
9	20	0.47908124398542856
9	21	0.46697321230546174
9	22	0.45853073657459803
9	23	0.45289624346090374
9	24	0.44671902016752324
9	25	0.43326721282833425
9	26	0.40630309423784977
9	27	0.3678694800797027
9	28	0.32933973189720595
9	29	0.3021723253222399
9	30	0.2904045905282687
9	31	0.28905067656464056
9	32	0.2892967730215872
9	33	0.2897218409256712
9	34	0.29321454070331865
9	35	0.28848413620160557
9	36	0.25094232635522473
9	37	0.20576898418041667
9	38	0.20393407705492642
9	39	0.17751207230286187
9	40	0.4161435738129671
